circuitId;circuitRef;name;location;country;lat;lng;alt;url;flag_url;picture_url
49;montjuic;Montjuïc;Barcelona;Spain;413664;215167;79;http://en.wikipedia.org/wiki/Montju%C3%AFc_circuit;https://www.worldometers.info//img/flags/small/tn_sp-flag.gif;https://upload.wikimedia.org/wikipedia/commons/b/b6/Circuit_MontjuichPark.png
50;nivelles;Nivelles-Baulers;Brussels;Belgium;506211;432694;139;http://en.wikipedia.org/wiki/Nivelles-Baulers;https://www.worldometers.info//img/flags/small/tn_be-flag.gif;https://upload.wikimedia.org/wikipedia/commons/0/0f/Circuit_Nivelles-Baulers.png
51;charade;Charade Circuit;Clermont-Ferrand;France;457472;303889;790;http://en.wikipedia.org/wiki/Charade_Circuit;https://www.worldometers.info//img/flags/small/tn_fr-flag.gif;https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Circuit_Charade_1958_1988.png/800px-Circuit_Charade_1958_1988.png
52;tremblant;Circuit Mont-Tremblant;Quebec;Canada;461877;-746099;214;http://en.wikipedia.org/wiki/Circuit_Mont-Tremblant;https://www.worldometers.info//img/flags/small/tn_ca-flag.gif;https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Circuit_Mont-Tremblant_Track_Map.svg/800px-Circuit_Mont-Tremblant_Track_Map.svg.png
53;essarts;Rouen-Les-Essarts;Rouen;France;493306;100458;81;http://en.wikipedia.org/wiki/Rouen-Les-Essarts;https://www.worldometers.info//img/flags/small/tn_fr-flag.gif;https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Rouen-Les-Essarts.svg/1280px-Rouen-Les-Essarts.svg.png
54;lemans;Le Mans;Le Mans;France;47.95;0.224231;67;http://en.wikipedia.org/wiki/Circuit_de_la_Sarthe#Bugatti_Circuit;https://www.worldometers.info//img/flags/small/tn_fr-flag.gif;https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Bugatti_Circuit.svg/375px-Bugatti_Circuit.svg.png
55;reims;Reims-Gueux;Reims;France;492542;393083;88;http://en.wikipedia.org/wiki/Reims-Gueux;https://www.worldometers.info//img/flags/small/tn_fr-flag.gif;https://upload.wikimedia.org/wikipedia/commons/f/fa/Circuit-Reims-1954.png
56;george;Prince George Circuit;Eastern Cape Province;South Africa;-330486;278736;15;http://en.wikipedia.org/wiki/Prince_George_Circuit;https://www.worldometers.info//img/flags/small/tn_sf-flag.gif;https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Prince_George_Circuit.svg/1280px-Prince_George_Circuit.svg.png
57;zeltweg;Zeltweg;Styria;Austria;472039;147478;676;http://en.wikipedia.org/wiki/Zeltweg_Airfield;https://www.worldometers.info//img/flags/small/tn_au-flag.gif;https://upload.wikimedia.org/wikipedia/commons/a/a4/Circuit_Zeltweg.png
58;aintree;Aintree;Liverpool;UK;534769;-294056;20;http://en.wikipedia.org/wiki/Aintree_Motor_Racing_Circuit;https://www.worldometers.info//img/flags/small/tn_uk-flag.gif;https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Circuit_Aintree.svg/800px-Circuit_Aintree.svg.png
59;boavista;Circuito da Boavista;Oporto;Portugal;411705;-867325;28;http://en.wikipedia.org/wiki/Circuito_da_Boavista;https://www.worldometers.info//img/flags/small/tn_po-flag.gif;https://upload.wikimedia.org/wikipedia/commons/2/24/Boavista2.png
60;riverside;Riverside International Raceway;California;USA;33937;-117273;470;http://en.wikipedia.org/wiki/Riverside_International_Raceway;https://www.worldometers.info//img/flags/small/tn_us-flag.gif;https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Riverside_International_Raceway_1980_and_1967.svg/800px-Riverside_International_Raceway_1980_and_1967.svg.png
61;avus;AVUS;Berlin;Germany;524806;132514;53;http://en.wikipedia.org/wiki/AVUS;https://www.worldometers.info//img/flags/small/tn_gm-flag.gif;https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Circuit_AVUS.svg/800px-Circuit_AVUS.svg.png
62;monsanto;Monsanto Park Circuit;Lisbon;Portugal;387197;-920306;158;http://en.wikipedia.org/wiki/Monsanto_Park_Circuit;https://www.worldometers.info//img/flags/small/tn_po-flag.gif;https://upload.wikimedia.org/wikipedia/commons/d/de/Circuit_Monsanto.png
63;sebring;Sebring International Raceway;Florida;USA;274547;-813483;18;http://en.wikipedia.org/wiki/Sebring_Raceway;https://www.worldometers.info//img/flags/small/tn_us-flag.gif;https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Sebring_International_Raceway_-_Historical_%281952%29.svg/1024px-Sebring_International_Raceway_-_Historical_%281952%29.svg.png
64;ain-diab;Ain Diab;Casablanca;Morocco;335786;-76875;19;http://en.wikipedia.org/wiki/Ain-Diab_Circuit;https://www.worldometers.info//img/flags/small/tn_mo-flag.gif;https://upload.wikimedia.org/wikipedia/commons/a/ae/Circuit_Ain_Diab.png
65;pescara;Pescara Circuit;Pescara;Italy;42475;141508;129;http://en.wikipedia.org/wiki/Pescara_Circuit;https://www.worldometers.info//img/flags/small/tn_it-flag.gif;https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Circuito_di_Pescara.png/1280px-Circuito_di_Pescara.png
66;bremgarten;Circuit Bremgarten;Bern;Switzerland;469589;740194;551;http://en.wikipedia.org/wiki/Circuit_Bremgarten;https://www.worldometers.info//img/flags/small/tn_sz-flag.gif;https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Circuit_Bremgarten.svg/1280px-Circuit_Bremgarten.svg.png
67;pedralbes;Circuit de Pedralbes;Barcelona;Spain;413903;211667;85;http://en.wikipedia.org/wiki/Pedralbes_Circuit;https://www.worldometers.info//img/flags/small/tn_sp-flag.gif;https://upload.wikimedia.org/wikipedia/commons/5/59/Circuit_Pedralbes.png
68;buddh;Buddh International Circuit;Uttar Pradesh;India;283487;775331;194;http://en.wikipedia.org/wiki/Buddh_International_Circuit;https://www.worldometers.info//img/flags/small/tn_in-flag.gif;https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Jaypee_International_Circuit_2011.svg/800px-Jaypee_International_Circuit_2011.svg.png
69;americas;Circuit of the Americas;Austin;USA;301328;-976411;161;http://en.wikipedia.org/wiki/Circuit_of_the_Americas;https://www.worldometers.info//img/flags/small/tn_us-flag.gif;https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Austin_circuit.svg/800px-Austin_circuit.svg.png
70;red_bull_ring;Red Bull Ring;Spielberg;Austria;472197;147647;678;http://en.wikipedia.org/wiki/Red_Bull_Ring;https://www.worldometers.info//img/flags/small/tn_au-flag.gif;https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/RedBull_Ring_vector_map.png/800px-RedBull_Ring_vector_map.png
71;sochi;Sochi Autodrom;Sochi;Russia;434057;399578;2;http://en.wikipedia.org/wiki/Sochi_Autodrom;https://www.worldometers.info//img/flags/small/tn_rs-flag.gif;https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Circuit_Sochi.svg/1280px-Circuit_Sochi.svg.png
73;baku;Baku City Circuit;Baku;Azerbaijan;403725;498533;-7;http://en.wikipedia.org/wiki/Baku_City_Circuit;https://www.worldometers.info//img/flags/small/tn_aj-flag.gif;https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Baku_Formula_One_circuit_map.svg/1024px-Baku_Formula_One_circuit_map.svg.png
75;portimao;Autódromo Internacional do Algarve;Portimão;Portugal;37227;-86267;108;http://en.wikipedia.org/wiki/Algarve_International_Circuit;https://www.worldometers.info//img/flags/small/tn_po-flag.gif;https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Aut%C3%B3dromo_do_Algarve_F1_Sectors.svg/1920px-Aut%C3%B3dromo_do_Algarve_F1_Sectors.svg.png
76;mugello;Autodromo Internazionale del Mugello;Mugello;Italy;439975;113719;255;http://en.wikipedia.org/wiki/Mugello_Circuit;https://www.worldometers.info//img/flags/small/tn_it-flag.gif;https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Mugello_Racing_Circuit_track_map_15_turns.svg/1280px-Mugello_Racing_Circuit_track_map_15_turns.svg.png
77;jeddah;Jeddah Corniche Circuit;Jeddah;Saudi Arabia;216319;391044;15;http://en.wikipedia.org/wiki/Jeddah_Street_Circuit;https://www.worldometers.info//img/flags/small/tn_sa-flag.gif;https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Jeddah_Street_Circuit_2021.svg/1280px-Jeddah_Street_Circuit_2021.svg.png
78;losail;Losail International Circuit;Al Daayen;Qatar;25.49;514542;12;http://en.wikipedia.org/wiki/Losail_International_Circuit;;
79;miami;Miami International Autodrome;Miami;USA;259581;-802389;0;http://en.wikipedia.org/wiki/Miami_International_Autodrome;;
